"drugbankid","smiles","id"
"DB00344","CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12",660
"DB00346","COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1",204
"DB00350","NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1",581
"DB00351","[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C",473
"DB00353","[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO",413
"DB00354","CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1",151
"DB00358","OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F",109
"DB00360","[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O",634
"DB00363","CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12",17
"DB00366","CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1",164
"DB00368","NC[C@H](O)C1=CC(O)=C(O)C=C1",227
"DB00370","CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1",75
"DB00372","CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1",415
"DB00376","OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1",194
"DB00379","CC(N)COC1=C(C)C=CC=C1C",684
"DB00381","CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC",334
"DB00382","NC1=C2CCCCC2=NC2=CC=CC=C12",398
"DB00383","CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1",181
"DB00387","OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1",185
"DB00388","CNC[C@H](O)C1=CC(O)=CC=C1",232
"DB00391","CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O",397
"DB00392","CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12",166
"DB00393","COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C",343
"DB00394","[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C",446
"DB00397","C[C@@H](N)[C@@H](O)C1=CC=CC=C1",233
"DB00401","COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C",344
"DB00402","CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1",555
"DB00408","CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2",29
"DB00409","CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC",80
"DB00412","CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1",599
"DB00413","CCCN[C@H]1CCC2=C(C1)SC(N)=N2",44
"DB00416","[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3",133
"DB00418","CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O",498
"DB00420","CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12",77
"DB00421","[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O",346
"DB00422","COC(=O)C(C1CCCCN1)C1=CC=CC=C1",658
"DB00423","COC1=CC=CC=C1OCC(O)COC(N)=O",356
"DB00424","CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1",171
"DB00425","CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1",618
"DB00433","CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1",431
"DB00434","CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12",65
"DB00436","NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F",351
"DB00443","[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C",447
"DB00450","FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12",214
"DB00454","CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1",183
"DB00457","COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1",234
"DB00458","CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12",26
"DB00461","COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2",583
"DB00462","[Br-].[H][C@]12C[C@@H](C[C@@]([H])(C3OC13)[N+]2(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1",175
"DB00465","OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1",572
"DB00469","CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O",605
"DB00470","[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1",554
"DB00471","OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1",582
"DB00473","CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1",681
"DB00476","CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1",651
"DB00477","CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2",15
"DB00480","NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O",628
"DB00482","CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F",623
"DB00483","[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC",119
"DB00489","CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1",281
"DB00490","O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1",12
"DB00496","NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1",160
"DB00500","CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1",609
"DB00502","OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1",70
"DB00505","CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1",193
"DB00508","CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F",86
"DB00514","[H][C@]12CC3=C(C=C(OC)C=C3)[C@@]3(CCCC[C@]13[H])CCN2C",128
"DB00515","N[Pt](N)(Cl)Cl",373
"DB00517","[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C",145
"DB00527","CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC",372
"DB00533","CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1",598
"DB00534","COC(CNC(N)=O)C[Hg]Cl",640
"DB00540","CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12",36
